Ligne (ID);Ligne (nom court);Date de début de validité;Résolution;Image
0031;31;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/cc070c68ca2d2831071480bb3d64faea
0032;32;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/401d80cf8e9eca5e71d6954f84fb7a15
0040;40ex;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/f5883cbce55a04900e130875a8129468
0041;41ex;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/8d326e673d625ec08cd9c6f3affe9048
0052;52;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/31c694c78c710307155e92ae0beafb80
0062;62;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/11489a802743037ec23c339d5554e2cf
0063;63;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/6229597bc232bae4f681a3d21f9bec21
0068;68;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/e37aab9bec2e1398dfcc8e3d74d7aff1
0070;70;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/804ba42410fd337732655943e790fcde
0158;KL;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/c3f34d4a7f870fbc7bac9a55651a77a0
0150;150ex;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/525b7b9769be65d3dcb728c1aca11bd1
0151;151ex;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/41e152192afe4460d0d3aee3c619af34
0155;155ex;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/219939f5eb45ed361741b3e8f8fc236c
0156;156ex;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/6c4a68a2c559a9ad0749c5de2ff93f89
0161;161ex;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/8f6443b387926ad5a0ee2580e87da3c5
0168;168ex;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/66e84b32b469fabac05d07969314d962
0200;200;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/1b79e11f6797dba2f9aed442c78aa39b
0214;214;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/22fda7b1950db25072ac8c1c652f1a56
0222;222;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/afca418cfce9651c7378338e7cbb8a59
0224;224;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/590788b56afed083cd1ed6a55d96a71e
0234;234;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ec885199b5a266f03680b66c47c8b51d
0244;244;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/0c54624c93a39e60f81939b9b18c4b0a
0409;Ts9;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/c87b0b3a45bd65e64c9206f153debcab
0432;Ts32;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/edd21b1f46b4b69ae2d165b1641048c9
