Ligne (nom court),Libellé long,Point d'arrêt de départ (nom)
233,Bourgbarré (Centre de Loisirs) -> Saint-Erblon (Collège Saint-Paul) via La Basse Erable,Centre de Loisirs
233,Saint-Erblon (Collège Saint-Paul) -> Orgères -> Bourgbarré (Centre de Loisirs),
234,Laillé (Gingouillère) -> Orgères (Collège Récipon) via Orée du Bois,Gingouillère
235,Pont-Péan (Mouton Blanc) -> Orgères (L'Hermitière Village),Mouton Blanc
236,Parthenay-de-Bretagne (Parthenay Fontaine) -> Pacé (Centre scolaire Pacé),Parthenay Fontaine
239,Mordelles (Mordelles Pâtis) -> Le Rheu (Lycée Monod),Mordelles Pâtis
240,L'Hermitage (L'Hermitage Centre) -> Le Rheu (Lycée Monod),L'Hermitage Centre
240,Le Rheu (Collège Brassens) -> L'Hermitage -> Saint-Gilles (Ile des Bois),Collège Brassens
Ts1,Bruz (Aire du 8 Mai) -> Noyal-Châtillon-sur-Seiche (Noyal La Touche),Aire du 8 Mai
Ts3,Bruz (Aire du 8 Mai) -> Noyal-Châtillon-sur-Seiche (Bray),Aire du 8 Mai
Ts7,Bruz (Aire du 8 Mai) -> Bourgbarré (Les Cruaux),Aire du 8 Mai
Ts36,Cintré (Pilais Barbais) -> Mordelles (Morvan Lebesque),Pilais Barbais
Ts43,Saint-Gilles (Etang de la Motte) -> Pacé (Centre scolaire Pacé),Etang de la Motte
202,Chevaigné (Pommiers) -> Betton -> Rennes (Assomption),Pommiers
204,Saint-Grégoire (Champ Daguet) -> Rennes (Assomption),Champ Daguet
207,Cesson-Sévigné (Lycée Ozanam) -> Rennes (Gares),Lycée Ozanam
207,Rennes (Gares) -> Cesson-Sévigné (Lycée Ozanam),
211,Rennes (Collège Cleunay) -> Chavagne (Croix Blanche),Collège Cleunay
211,Chavagne (Croix Blanche) -> Rennes (Collège Cleunay),Croix Blanche
212,Noyal-Châtillon-sur-Seiche (Molène) -> Rennes (Coubertin),Molène
215,Rennes (Lycée Chateaubriand) -> Rennes (Villejean-Université),Lycée Chateaubriand
221,Cesson-Sévigné (Château de Vaux) -> Thorigné-Fouillard -> Cesson-Sévigné (Lycée Sévigné),Château de Vaux
223,Chevaigné (Pommiers) -> Betton -> Saint-Grégoire (Jean-Paul II),Pommiers
225,Pacé (Pâtis Roussel) -> Saint-Grégoire (Jean-Paul II),Pâtis Roussel
226,Gévezé (Cheval Blanc) -> La Chapelle-des-Fougeretz -> Pacé (Centre scolaire Pacé),Cheval Blanc
226,Pacé (Centre scolaire Pacé) -> La Chapelle-des-Fougeretz (Besneraie),Centre scolaire Pacé
226,Pacé (Centre scolaire Pacé) -> La Chapelle-des-Fougeretz -> Gévezé (Cheval Blanc),Centre scolaire Pacé
228,La Chapelle-des-Fougeretz (Besneraie) -> Montgermont -> Rennes (Lycée Mendès France),
RPI-1,La Chapelle-Chaussée (Chapelle-Chaussée) -> La Chapelle-Chaussée (Chapelle-Chaussée),Chapelle-Chaussée
Ts81,Noyal-Châtillon-sur-Seiche (La Garde) -> Chartres-de-Bretagne (Collège Pôle Sud),La Garde
Ts81,Chartres-de-Bretagne (Collège Pôle Sud) -> Noyal-Châtillon-sur-Seiche (La Garde),Collège Pôle Sud
API,Rennes (Etangs d'Apigné) -> Rennes (République),Etangs d'Apigné
TTZ,Rennes (La Salle) -> Noyal-Châtillon-sur-Seiche (Touche Tizon),La Salle
TTZ,Rennes (Patton) -> Noyal-Châtillon-sur-Seiche (Touche Tizon),Patton
Ts52,Saint-Erblon (Collège Saint-Paul) -> Noyal-Châtillon-sur-Seiche (Noyal La Touche),Collège Saint-Paul
Ts61,Cesson-Sévigné (Chalotais) -> Cesson-Sévigné (Prieuré Forge),Chalotais
Ts61,Cesson-Sévigné (Cesson Piscine) -> Cesson-Sévigné (Prieuré Forge),Cesson Piscine
Ts66,Le Rheu (Collège Brassens) -> Saint-Gilles (Ile des Bois),Collège Brassens
C1,Cesson-Sévigné (Champs Blancs) -> Rennes (République),Champs Blancs
C3,Rennes (Henri Fréville) -> Rennes (Saint-Laurent),Henri Fréville
C4,Rennes (ZA Saint-Sulpice) -> Saint-Grégoire (Grand Quartier),ZA Saint-Sulpice
C4,Rennes (République) -> Rennes (Plaine de Baud),République
C4,Saint-Grégoire (Grand Quartier) -> Rennes (ZA Saint-Sulpice),Grand Quartier
C5,Rennes (Lycée Bréquigny) -> Rennes (Patton),Lycée Bréquigny
C6,Saint-Jacques-de-la-Lande (Gaité) -> Rennes (République),Gaité
13,Rennes (Henri Fréville) -> Saint-Jacques-de-la-Lande (Gautrais),Henri Fréville
